t_idx,yaw,orientation,wind_dir,time
452,2,0.0,225.0,225.0,200.0
453,3,0.0,225.0,225.0,200.0
454,4,0.0,225.0,225.0,200.0
455,5,0.0,225.0,225.0,200.0
456,6,0.0,225.0,225.0,200.0
457,7,0.0,225.0,225.0,200.0
458,8,0.0,225.0,225.0,200.0
459,0,0.0,225.0,225.0,204.0
460,1,0.0,225.0,225.0,204.0
461,2,0.0,225.0,225.0,204.0
462,3,0.0,225.0,225.0,204.0
463,4,0.0,225.0,225.0,204.0
464,5,0.0,225.0,225.0,204.0
465,6,0.0,225.0,225.0,204.0
466,7,0.0,225.0,225.0,204.0
467,8,0.0,225.0,225.0,204.0
468,0,0.0,225.0,225.0,208.0
469,1,0.0,225.0,225.0,208.0
470,2,0.0,225.0,225.0,208.0
471,3,0.0,225.0,225.0,208.0
472,4,0.0,225.0,225.0,208.0
473,5,0.0,225.0,225.0,208.0
474,6,0.0,225.0,225.0,208.0
475,7,0.0,225.0,225.0,208.0
476,8,0.0,225.0,225.0,208.0
477,0,0.0,225.0,225.0,212.0
478,1,0.0,225.0,225.0,212.0
479,2,0.0,225.0,225.0,212.0
480,3,0.0,225.0,225.0,212.0
481,4,0.0,225.0,225.0,212.0
482,5,0.0,225.0,225.0,212.0
483,6,0.0,225.0,225.0,212.0
484,7,0.0,225.0,225.0,212.0
485,8,0.0,225.0,225.0,212.0
486,0,0.0,225.0,225.0,216.0
487,1,0.0,225.0,225.0,216.0
488,2,0.0,225.0,225.0,216.0
489,3,0.0,225.0,225.0,216.0
490,4,0.0,225.0,225.0,216.0
491,5,0.0,225.0,225.0,216.0
492,6,0.0,225.0,225.0,216.0
493,7,0.0,225.0,225.0,216.0
494,8,0.0,225.0,225.0,216.0
495,0,0.0,225.0,225.0,220.0
496,1,0.0,225.0,225.0,220.0
497,2,0.0,225.0,225.0,220.0
498,3,0.0,225.0,225.0,220.0
499,4,0.0,225.0,225.0,220.0
500,5,0.0,225.0,225.0,220.0
501,6,0.0,225.0,225.0,220.0
502,7,0.0,225.0,225.0,220.0
503,8,0.0,225.0,225.0,220.0
504,0,0.0,225.0,225.0,224.0
505,1,0.0,225.0,225.0,224.0
506,2,0.0,225.0,225.0,224.0
507,3,0.0,225.0,225.0,224.0
508,4,0.0,225.0,225.0,224.0
509,5,0.0,225.0,225.0,224.0
510,6,0.0,225.0,225.0,224.0
511,7,0.0,225.0,225.0,224.0
512,8,0.0,225.0,225.0,224.0
513,0,0.0,225.0,225.0,228.0
514,1,0.0,225.0,225.0,228.0
515,2,0.0,225.0,225.0,228.0
516,3,0.0,225.0,225.0,228.0
517,4,0.0,225.0,225.0,228.0
518,5,0.0,225.0,225.0,228.0
519,6,0.0,225.0,225.0,228.0
520,7,0.0,225.0,225.0,228.0
521,8,0.0,225.0,225.0,228.0
522,0,0.0,225.0,225.0,232.0
523,1,0.0,225.0,225.0,232.0
524,2,0.0,225.0,225.0,232.0
525,3,0.0,225.0,225.0,232.0
526,4,0.0,225.0,225.0,232.0
527,5,0.0,225.0,225.0,232.0
528,6,0.0,225.0,225.0,232.0
529,7,0.0,225.0,225.0,232.0
530,8,0.0,225.0,225.0,232.0
531,0,0.0,225.0,225.0,236.0
532,1,0.0,225.0,225.0,236.0
533,2,0.0,225.0,225.0,236.0
534,3,0.0,225.0,225.0,236.0
535,4,0.0,225.0,225.0,236.0
536,5,0.0,225.0,225.0,236.0
537,6,0.0,225.0,225.0,236.0
538,7,0.0,225.0,225.0,236.0
539,8,0.0,225.0,225.0,236.0
540,0,0.0,225.0,225.0,240.0
541,1,0.0,225.0,225.0,240.0
542,2,0.0,225.0,225.0,240.0
543,3,0.0,225.0,225.0,240.0
544,4,0.0,225.0,225.0,240.0
545,5,0.0,225.0,225.0,240.0
546,6,0.0,225.0,225.0,240.0
547,7,0.0,225.0,225.0,240.0
548,8,0.0,225.0,225.0,240.0
549,0,0.0,225.0,225.0,244.0
550,1,0.0,225.0,225.0,244.0
551,2,0.0,225.0,225.0,244.0
552,3,0.0,225.0,225.0,244.0
